English (Chat-GPT v1),English (Chat-GPT v2),English,Turkish,Swedish,Farsi,Hindi
I have soup and bread.,,The shower is next to the toilet.,"Duş, tuvaletin yanında.",Duschen är bredvid toaletten.,,
"I want a coffee, please.",,The soap is between the sponge and the brush.,Sabun sünger ile fırçanın arasında.,Tvålen är mellan svampen och borsten.,,
"I want a tea, please.",,The mirror sits between the two cupboards.,Ayna iki dolabın arasında duruyor.,Spegeln sitter mellan de två skåpen.,,
"I want water, please.",,We sleep next to each other in the bedroom.,Yatak odasında yan yana uyuruz.,Vi sover bredvid varandra i sovrummet.,,
"I want the menu, please.",,I keep the boxes under the stairs.,Kutuları merdivenin altında saklarım.,Jag förvarar lådorna under trappan.,,
I want to order now.,,The fridge is right next to the kitchen sink.,Buzdolabı mutfak evyesinin hemen yanında.,Kylskåpet står precis bredvid diskhon.,,
"I want this dish, please.",,The microwave is between the toaster and the stove.,"Mikrodalga fırın, tost makinesi ve ocağın arasında.",Mikrovågsugnen är mellan brödrosten och spisen.,,
"I want the chicken, please.",,You can leave your coat by the front door.,Paltonuzu ön kapının yanına bırakabilirsiniz.,Du kan lämna din jacka vid ytterdörren.,,
"I want the pasta, please.",,The dog likes to sleep under the wooden table.,"Köpek, ahşap masanın altında uyumayı sever.",Hunden tycker om att sova under träbordet.,,
"I want the salad, please.",,The bookshelf is between the door and the wall.,Kitaplık kapı ile duvar arasında.,Bokhyllan är mellan dörren och väggen.,,
"I want dessert, please.",,Is the cat hiding under the armchair again?,Kedi yine koltuğun altında mı saklanıyor?,Gömmer sig katten under fåtöljen igen?,,
How much is this coffee?,,The shower is next to the toilet in that bathroom.,"Duş, o banyodaki tuvaletin yanındadır.",Duschen är bredvid toaletten i det badrummet.,,
How much is the tea?,,The soap goes next to the sponge and the brush.,"Sabun, sünger ve fırçanın yanında durur.",Tvålen ligger bredvid svampen och borsten.,,
How much is this sandwich?,,She sets six cups on the table for everyone.,O herkes için masaya altı bardak koyuyor.,Hon ställer sex koppar på bordet till alla.,,
How much is the meal?,,We are waiting near gate seven at the airport.,Havaalanında yedinci kapının yanında bekliyoruz.,Vi väntar nära gate sju på flygplatsen.,,
How much is the bill?,,The plant goes between the lamp and the clock.,Bitki lamba ile saat arasında durur.,Växten står mellan lampan och klockan.,,
The coffee is three dollars.,,They sit by the pool for a few minutes.,Birkaç dakika havuz başında oturuyorlar.,De sitter vid poolen i några minuter.,,
The sandwich is five dollars.,,I found three socks under a pile of clothes.,Elbise yığınının altında üç çorap buldum.,Jag hittade tre strumpor under en hög med kläder.,,
The meal is ten dollars.,,The oven is right next to the dishwasher.,Fırın bulaşık makinesinin hemen yanında.,Ugnen ligger precis bredvid diskmaskinen.,,
The bill is twenty dollars.,,The painting hangs above the sofa.,"Resim, kanepenin üzerinde asılı duruyor.",Målningen hänger ovanför soffan.,,
This shop is open today.,,You can put the bin under the counter.,Çöp kutusunu tezgahın altına koyabilirsin.,Du kan ställa soptunnan under bänken.,,
This shop is closed now.,,The car is parked in front of the house.,Araba evin önünde park edilmiş.,Bilen är parkerad framför huset.,,
The restaurant is busy.,,The pillow goes between the two blankets.,Yastık iki battaniyenin arasına konur.,Kudden läggs mellan de två filtarna.,,
The café is quiet.,,He found a letter under some old papers.,Bazı eski kağıtların altında bir mektup buldu.,Han hittade ett brev under några gamla papper.,,
The food is good here.,,The towel hangs behind the door.,Havlu kapının arkasında asılı.,Handduken hänger bakom dörren.,,
The food is hot now.,,The bench sits between the flowers and the trees.,Banka çiçeklerin ve ağaçların arasında duruyor.,Bänken står mellan blommorna och träden.,,
The food is ready now.,,We are waiting inside the building.,Binanın içinde bekliyoruz.,Vi väntar inne i byggnaden.,,
The drink is cold.,,The chair goes under the desk.,Sandalye masanın altına geçer.,Stolen går under skrivbordet.,,
The table is clean.,,The picture fits between the clock and the mirror.,"Resim, saat ile ayna arasına sığar.",Bilden passar mellan klockan och spegeln.,,
The menu is simple.,,They leave several pairs of shoes by the door.,Kapının yanına birkaç çift ayakkabı bırakırlar.,De lämnar flera par skor vid dörren.,,
The price is good.,,Is the ball under the yellow car.,Top sarı arabanın altında mı?,Är bollen under den gula bilen?,,
The service is fast.,,The spoon goes next to the knife on the table.,"Kaşık, masanın üzerine bıçağın yanına konur.",Skeden ligger bredvid kniven på bordet.,,
I am happy with the food.,,The pencil is between the book and the paper.,"Kalem, kitap ve kağıt arasında.",Blyertspennan är mellan boken och pappret.,,
There is a house on this street.,,She puts a bowl near the sink.,O bir kaseyi lavabonun yakınına koyar.,Hon ställer en skål nära diskhon.,,
There is an apartment in this building.,,We sit across from our parents at dinner.,Yemekte ailemizin karşısında oturuyoruz.,Vi sitter mittemot våra föräldrar vid middagen.,,
There is a door at the entrance.,,The box fits between the bed and the wardrobe.,Kutu yatak ve gardırobun arasına sığıyor.,Lådan får plats mellan sängen och garderoben.,,
There is a window in the living room.,,The umbrella is under the bench.,Şemsiye bankın altında.,Paraplyet är under bänken.,,
There is a kitchen in the apartment.,,I leave my phone on the desk.,Telefonumu masanın üzerine bırakıyorum.,Jag lämnar min telefon på skrivbordet.,,
There is a bathroom near the bedroom.,,He works by the window for the light.,Işık için pencerenin kenarında çalışıyor.,Han arbetar vid fönstret för ljuset.,,
There is a bedroom upstairs.,,The light above the mirror is on.,Aynanın üzerindeki ışık açık.,Ljuset över spegeln är på.,,
There is a living room downstairs.,,The bag is under the chair.,Çanta sandalyenin altında.,Väskan är under stolen.,,
There is a table in the kitchen.,,They walk along the fence for a short distance.,Çit boyunca kısa bir mesafe yürüyorlar.,De går längs stängslet en kort bit.,,
There is a chair near the table.,,The glass goes in front of the plate.,Bardak tabağın önüne konur.,Glaset går framför tallriken.,,
There is a sofa in the living room.,,She stands near the piano while she plays.,Çalarken piyanonun yanında ayakta duruyor.,Hon står vid pianot medan hon spelar.,,
There is a lamp next to the sofa.,,I keep my phone in my pocket.,Telefonumu cebimde tutarım.,Jag har min telefon i fickan.,,
There is a television in the living room.,,I left your keys on my desk.,Anahtarlarını masamın üzerine bıraktım.,Jag lämnade dina nycklar på mitt skrivbord.,,
There is a rug on the floor.,,You left your bag in the car.,Çantanı arabada unuttun.,Du glömde din väska i bilen.,,
There is a bed in the bedroom.,,You are holding my pen.,Kalemimi tutuyorsun.,Du håller min penna.,,
There is a pillow on the bed.,,He keeps his wallet inside his jacket.,Cüzdanını ceketinin içinde saklar.,Han förvarar sin plånbok i sin jacka.,,
There is a blanket on the bed.,,He left her umbrella in his office.,Onun şemsiyesini kendi ofisinde bıraktı.,Han lämnade hennes paraply på sitt kontor.,,
There is a closet in the bedroom.,,She wears her watch on her wrist.,O saatini bileğine takar.,Hon bär sin klocka på handleden.,,
There is a mirror on the wall.,,She has his passport in her bag.,Onun pasaportu çantasında.,Hon har hans pass i sin väska.,,
There is a shower in the bathroom.,,She has his passport in her bag.,Onun pasaportu onun çantasında.,Hon har hans pass i sin väska.,,
There is a sink in the bathroom.,,We have several laptops in the room.,Odada birkaç dizüstü bilgisayarımız var.,Vi har flera bärbara datorer i rummet.,,
There is a toilet in the bathroom.,,We put three suitcases in the trunk.,Üç bavulu bagaja koyduk.,Vi lade tre resväskor i bagageluckan.,,
There is a towel near the sink.,,They keep the bottles together in one box.,Şişeleri tek bir kutuda bir arada tutuyorlar.,De förvarar flaskorna ihop i en låda.,,
There is a fridge in the kitchen.,,They have our map at their house.,Onların evinde haritamız var.,De har vår karta hemma hos sig.,,
There is a stove in the kitchen.,,I do not have my bus pass today.,Bugün otobüs kartım yanımda yok.,Jag har inte mitt busskort idag.,,
There is an oven under the stove.,,I am carrying your notebook in my bag.,Defterini çantamda taşıyorum.,Jag bär din anteckningsbok i min väska.,,
There is a plate on the table.,,You do not have your card with you.,Yanınızda kartınız yok.,Du har inte ditt kort med dig.,,
There is a cup on the table.,,You left his belt in your room.,Kemerini odanda unuttun.,Du glömde hans bälte i ditt rum.,,
There is a glass in the kitchen.,,The sign is above the door.,Tabela kapının üstünde.,Skylten är ovanför dörren.,,
There is a fork next to the plate.,,The shop is across from the station.,Dükkan istasyonun karşısında.,Butiken ligger mittemot stationen.,,
There is a knife on the table.,,We have been waiting outside for five minutes.,Beş dakikadır dışarıda bekliyoruz.,Vi har väntat ute i fem minuter.,,
There is a spoon near the bowl.,,The shoes are on the top shelf.,Ayakkabılar en üst rafta.,Skorna är på den översta hyllan.,,
There is a book on the desk.,,The cat is hiding behind the chair.,Kedi sandalyenin arkasına saklanıyor.,Katten gömmer sig bakom stolen.,,
There is a notebook on the desk.,,The bus stops at the corner.,Otobüs köşede durur.,Bussen stannar vid hörnet.,,
There is a pen on the desk.,,The path goes through the park.,Yol parktan geçer.,Stigen går genom parken.,,
There is a computer on the desk.,,The table stands in the middle of the room.,Masa odanın ortasında duruyor.,Bordet står mitt i rummet.,,
There is a phone on the table.,,The exit is at the end of the hall.,Çıkış koridorun sonunda.,Utgången är i slutet av korridoren.,,
There is a charger near the phone.,,I keep her wedding photo in my wallet.,Onun düğün fotoğrafını cüzdanımda saklarım.,Jag har hennes bröllopsfoto i min plånbok.,,
There is a bag near the door.,,Your sunglasses are on your head.,Güneş gözlüğün kafanda.,Dina solglasögon är på ditt huvud.,,
There is a coat on the chair.,,My spare key is in your drawer.,Yedek anahtarım çekmecende.,Min reservnyckel är i din låda.,,
There is a key on the table.,,He keeps his laptop charger with him.,Laptop şarj aletini yanında bulundurur.,Han har sin laptopladdare med sig.,,
There is a clock on the wall.,,Your dictionary is on his table.,Sözlüğün onun masasında.,Din ordbok är på hans bord.,,
There is a calendar on the wall.,,She keeps her ID card with her.,O kimlik kartını yanında taşır.,Hon har sitt ID-kort med sig.,,
There is a plant near the window.,,My dictionary is in her locker.,Sözlüğüm onun dolabında.,Min ordbok är i hennes skåp.,,
There are two rooms in the apartment.,,Our lunch boxes are in the fridge.,Öğle yemeği kutularımız buzdolabında.,Våra matlådor står i kylen.,,
There are three chairs in the kitchen.,,Your tickets are safe in our envelope.,Biletleriniz zarfımızda güvende.,Dina biljetter är säkra i vårt kuvert.,,
There are four windows in the house.,,Their bicycles are stored in the garage.,Onların bisikletleri garajda saklanıyor.,Deras cyklar förvaras i garaget.,,
There are two bedrooms upstairs.,,Our soccer ball is in their garden.,Bizim futbol topumuz bahçelerinde.,Vår fotboll är i deras trädgård.,,
There are two bathrooms in the house.,,Does he have his membership card with him?,Üyelik kartı yanında mı?,Har han sitt medlemskort med sig?,,
There are many books on the shelf.,,Her purple scarf is in his bag.,Onun mor eşarbı onun çantasında.,Hennes lila halsduk är i hans väska.,,
There are some plates in the cupboard.,,Is my phone charger in her room?,Telefon şarj aletim onun odasında mı?,Är min telefonladdare i hennes rum?,,
There are cups in the cabinet.,,His green folder is on her desk.,"Onun yeşil dosyası, onun masasının üzerinde.",Hans gröna mapp är på hennes skrivbord.,,
There are glasses in the kitchen.,,Do you have your passport with you?,Pasaportunuz yanınızda mı?,Har du ditt pass med dig?,,
